# REBOUND parity — Figure-8 choreography — apsis IAS15 side
# protocol: paper/notebooks/2026-04-26-rebound-parity-figure8.md
# integrator: IAS15 (apsis)
# units: canonical (G = 1)
# mass=1, period=6.325913986999999850e0
# n_periods=10, samples_per_period=200, dt0=6.325913986999999808e-3
sample,t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,e_total
837,2.647562059733716566e1,1.105635757687604970e-1,-1.006047121309274067e-1,9.543239939517413895e-1,-8.358088820783031725e-1,9.063369893983855841e-1,2.912062212040065212e-1,-6.196107117275514442e-1,3.794109643474253279e-1,-1.016900565167147885e0,-1.906015090730796002e-1,-3.347132822241901118e-1,4.563979177308779001e-1,-1.287141991766325821e0
838,2.652214477256329062e1,1.553961382756357812e-1,-1.388731540078982918e-1,9.738215098915314893e-1,-8.076180799518557496e-1,8.759906058756263825e-1,3.081236253562411598e-1,-6.852871126507651400e-1,3.465025321130077440e-1,-1.031386744151263857e0,-1.692504713483434231e-1,-2.885343972407665158e-1,4.611155478388480611e-1,-1.287141991766326043e0
839,2.654536363982387215e1,1.781386821254012931e-1,-1.574223513932860863e-1,9.853196838083075892e-1,-7.897144153784869669e-1,8.596914306563386843e-1,3.159460037485196104e-1,-7.187252773483472357e-1,3.269211284967314390e-1,-1.037830112781741754e0,-1.585236523552340238e-1,-2.665944064599604646e-1,4.627932868817555834e-1,-1.287141991766326043e0
840,2.659100740148646480e1,2.236738510184009820e-1,-1.925262333308925822e-1,1.010358579751749142e0,-7.466925622394888773e-1,8.253754476874307633e-1,3.298693597168374514e-1,-7.849422432897327218e-1,2.816028588029960145e-1,-1.049049298705833522e0,-1.373431263859453966e-1,-2.254163364620165033e-1,4.650897034364928628e-1,-1.287141991766325821e0
841,2.661338432734372716e1,2.464273895237321377e-1,-2.089600017728831527e-1,1.023344645939994191e0,-7.216848043614081387e-1,8.074488410580094033e-1,3.358871478501492813e-1,-8.172513722870525799e-1,2.558531394912085810e-1,-1.053876230581743290e0,-1.269271460772666560e-1,-2.060932736529417497e-1,4.658316648701995577e-1,-1.287141991766325377e0
842,2.663545107849907367e1,2.691518824486489048e-1,-2.245894220305532374e-1,1.036265186267698590e0,-6.944448060089860597e-1,7.890665900613376138e-1,3.412309012424531995e-1,-8.487232199177487946e-1,2.280729926663673801e-1,-1.058218472509988350e0,-1.166414792119004895e-1,-1.875419663499499068e-1,4.663718133426187351e-1,-1.287141991766326488e0
843,2.667872312733218365e1,3.145311770246806415e-1,-2.533578397486551670e-1,1.060832826229174852e0,-6.335689051380544168e-1,7.510378146458926985e-1,3.498029207184120137e-1,-9.083697021869487909e-1,1.665589835110131978e-1,-1.065568991670575061e0,-9.644508096975736022e-2,-1.524631240422262834e-1,4.670099216270411913e-1,-1.287141991766325821e0
844,2.669995158258965517e1,3.371704949572928989e-1,-2.664568771751527620e-1,1.071945697865590352e0,-6.001511078266922317e-1,7.314576935985293016e-1,3.529861910575770034e-1,-9.361363767049499796e-1,1.329784372876485210e-1,-1.068628188555823977e0,-8.652931388242474098e-2,-1.358093211606406225e-1,4.671726705390436551e-1,-1.287141991766325599e0
845,2.674168097050941384e1,3.823084017210038876e-1,-2.900246000965208126e-1,1.090584840540745670e0,-5.280282525930141135e-1,6.913187602241651630e-1,3.570555741767262870e-1,-9.866230694194751960e-1,6.072031455081756263e-2,-1.073627161945170938e0,-6.703097408020593229e-2,-1.039617711212706408e-1,4.673079380421965578e-1,-1.287141991766325599e0
846,2.676220908372246043e1,4.047713732672433840e-1,-3.004733669595095469e-1,1.097656843123693493e0,-4.896735189754914397e-1,6.708325045911878171e-1,3.579112564229519067e-1,-1.008996889888411408e0,2.235695935033042703e-2,-1.075603877858432922e0,-5.743788946344287327e-2,-8.865995323528223782e-2,4.673165596251610543e-1,-1.287141991766326043e0
847,2.680274351473755345e1,4.494661227510114987e-1,-3.187110985058987378e-1,1.106352505757630666e0,-4.092437539013530912e-1,6.291280705429083131e-1,3.572071475196074708e-1,-1.047361357711385388e0,-5.803737615972529712e-2,-1.078594193293921810e0,-3.849604901370924648e-2,-5.899114804624552844e-2,4.672811300610784091e-1,-1.287141991766325821e0
848,2.682279833984587114e1,4.716704888845035804e-1,-3.265023867369993282e-1,1.107658394829555748e0,-3.675828154732827535e-1,6.079614467152754109e-1,3.556274551332072598e-1,-1.063140613962836989e0,-9.967235360195728089e-2,-1.079631935599780768e0,-2.912506839620846236e-2,-4.451778086671880075e-2,4.672551690752400622e-1,-1.287141991766325377e0
849,2.686262361514280528e1,5.157327328778473774e-1,-3.394544677539417243e-1,1.103588774987871224e0,-2.824522086840318691e-1,5.651039878061154820e-1,3.499718383907061692e-1,-1.087560507269415000e0,-1.847639742100221083e-1,-1.080836720683964636e0,-1.051737063676496352e-2,-1.602826771845647369e-2,4.672161828940540329e-1,-1.287141991766325821e0
850,2.690226635234637698e1,5.592468741016081157e-1,-3.489466547164880028e-1,1.090127292229819744e0,-1.964113646584915718e-1,5.216657563063922254e-1,3.409424883335173129e-1,-1.102323198823576211e0,-2.708020432493569163e-1,-1.080912630408002340e0,8.004166382970209423e-3,1.219590659375624150e-2,4.672134079078485436e-1,-1.287141991766325599e0
851,2.692207799774563881e1,5.807457688922488259e-1,-3.524136522562892337e-1,1.079804640242098879e0,-1.536512561624377993e-1,4.997853510515171127e-1,3.351531000426722917e-1,-1.106129195705108037e0,-3.135757159449423792e-1,-1.080531119943767937e0,1.726055221361645284e-2,2.632455546300910276e-2,4.672269721073802340e-1,-1.287141991766326043e0
852,2.696180214620772375e1,6.231199382026577638e-1,-3.568413241532819580e-1,1.052092451770027637e0,-6.981228693493508886e-2,4.558000289632374580e-1,3.210197034205168332e-1,-1.106941579219822724e0,-3.974614520795106687e-1,-1.078919967165897109e0,3.582162073276461134e-2,5.484912744979480309e-2,4.672737390144457437e-1,-1.287141991766325377e0
853,2.698175918131872919e1,6.439479084846897461e-1,-3.578270800814578601e-1,1.034834706103007873e0,-2.917463589798842405e-2,4.337330744746022426e-1,3.126798101952263376e-1,-1.104172548886231953e0,-4.381235113187916808e-1,-1.077680982959293932e0,4.514726988623102288e-2,6.933784278322378813e-2,4.672981472167801464e-1,-1.287141991766325821e0
854,2.702201237303318848e1,6.848066622083233135e-1,-3.574151809735972019e-1,9.939858867166904144e-1,4.862164902347696632e-2,3.894879209324037528e-1,2.934571250703607026e-1,-1.093022640439506254e0,-5.159353457920219377e-1,-1.074294583140729120e0,6.395805590323598577e-2,9.903675372281582623e-2,4.673136967685450616e-1,-1.287141991766326043e0
855,2.706289630209974817e1,7.244754119495009359e-1,-3.539277396022680877e-1,9.455443679589415895e-1,1.207217902553412714e-1,3.451393036752787302e-1,2.708655607428133716e-1,-1.075608306207378462e0,-5.879340114796886008e-1,-1.069614715624781720e0,8.306217885945423041e-2,1.300639382484366779e-1,4.672122212243473016e-1,-1.287141991766325821e0
856,2.708365660994659052e1,7.438300045669928862e-1,-3.510689607377947552e-1,9.188271676888905004e-1,1.543375794620687469e-1,3.229172221198096104e-1,2.583085681553112800e-1,-1.065061776032130147e0,-6.214173569636716188e-1,-1.066747226686804328e0,9.276039258248297559e-2,1.462346083432394250e-1,4.670797775016028996e-1,-1.287141991766325821e0
857,2.712589346144876856e1,7.814359626497615618e-1,-3.432134573412145562e-1,8.612871975631992694e-1,2.161523102852555278e-1,2.784232973654655607e-1,2.307349239884838865e-1,-1.041459415983669423e0,-6.826967297766062259e-1,-1.059859260015229010e0,1.124785333527301562e-1,1.801722184204701260e-1,4.665444194913507814e-1,-1.287141991766326043e0
858,2.714740760795869789e1,7.996392138792024484e-1,-3.382571182173990665e-1,8.308289034466543876e-1,2.442161899662760038e-1,2.561520902913492770e-1,2.157459558414115131e-1,-1.028895842536413641e0,-7.103009721941515586e-1,-1.055791304170553557e0,1.225111623759870538e-1,1.980669390897591420e-1,4.660847822278756380e-1,-1.287141991766325821e0
859,2.719130301372849345e1,8.347220352117956654e-1,-3.264003060846411008e-1,7.674719906434990246e-1,2.944767606064283560e-1,2.115491470079762515e-1,1.834597865335337863e-1,-1.003513475884898698e0,-7.590721308892182106e-1,-1.046271182219773888e0,1.429405195511068150e-1,2.360414852413993958e-1,4.645953702827898546e-1,-1.287141991766325599e0
860,2.721372373600760142e1,8.515643332428720624e-1,-3.195447938794868104e-1,7.349214003989413824e-1,3.166795713837021742e-1,1.891889228266397938e-1,1.661998119322742606e-1,-9.911963290553272854e-1,-7.801478932474479322e-1,-1.040753256069513855e0,1.533449819472120779e-1,2.562749286563857920e-1,4.634683218637458690e-1,-1.287141991766325599e0
