# REBOUND parity — Kepler e=0.5 — REBOUND IAS15 side
# protocol: paper/notebooks/2026-04-25-rebound-parity-kepler.md
# integrator: IAS15 (REBOUND)
# rebound_version: 4.6.0
# units: canonical (G = 1)
# a=1.0, e=0.5, m_primary=1.0, m_secondary=1.000000e-06
# period=6.283185307179586232e+00, dt0=1.005309649148733858e-01, n_orbits=100
orbit,t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,e_total
87,4.593185120360566032e+00,1.019595581389430288e-06,7.399376264408902953e-07,-6.782107704061369690e-07,3.571906456861769384e-07,-1.019595581389430405e+00,-7.399376264408912274e-01,6.782107704061370868e-01,-3.571906456861771439e-01,-5.000014999984999234e-07
88,4.664800826573011427e+00,9.697129391212902870e-07,7.645390893839949418e-07,-7.149137022356044074e-07,3.294214070509819763e-07,-9.697129391212904181e-01,-7.645390893839959512e-01,7.149137022356044646e-01,-3.294214070509821624e-01,-5.000014999985000293e-07
89,4.664800826573011427e+00,9.697129391212902870e-07,7.645390893839949418e-07,-7.149137022356044074e-07,3.294214070509819763e-07,-9.697129391212904181e-01,-7.645390893839959512e-01,7.149137022356044646e-01,-3.294214070509821624e-01,-5.000014999985000293e-07
90,4.733394255496625291e+00,9.194594970067364308e-07,7.861509598756759685e-07,-7.503916459487776147e-07,3.002878972806839470e-07,-9.194594970067364592e-01,-7.861509598756770689e-01,7.503916459487776081e-01,-3.002878972806841684e-01,-5.000014999984999234e-07
91,4.799137370111788314e+00,8.690013453784045258e-07,8.049048787576822219e-07,-7.846566220339222551e-07,2.697921352578698615e-07,-8.690013453784046771e-01,-8.049048787576832398e-01,7.846566220339222797e-01,-2.697921352578700471e-01,-5.000014999985000293e-07
92,4.862150805562359679e+00,8.185174787943669367e-07,8.209163400709734527e-07,-8.176904241505613914e-07,2.379524524245354119e-07,-8.185174787943669816e-01,-8.209163400709744707e-01,8.176904241505613680e-01,-2.379524524245356099e-01,-5.000014999985000293e-07
93,4.922585449954824277e+00,7.681402200871907116e-07,8.343078575732832471e-07,-8.494871496900497368e-07,2.047671293978512310e-07,-7.681402200871908503e-01,-8.343078575732842950e-01,8.494871496900496810e-01,-2.047671293978514662e-01,-5.000014999985000293e-07
94,4.922585449954824277e+00,7.681402200871907116e-07,8.343078575732832471e-07,-8.494871496900497368e-07,2.047671293978512310e-07,-7.681402200871908503e-01,-8.343078575732842950e-01,8.494871496900496810e-01,-2.047671293978514662e-01,-5.000014999985000293e-07
95,4.980568602161302927e+00,7.179988701181175543e-07,8.451932641148455922e-07,-8.800251416506157236e-07,1.702403093493814273e-07,-7.179988701181176936e-01,-8.451932641148467429e-01,8.800251416506158497e-01,-1.702403093493816133e-01,-5.000014999984999234e-07
96,5.036234834399257565e+00,6.681963391696319752e-07,8.536844078258477570e-07,-9.092830781100718738e-07,1.343660244612241649e-07,-6.681963391696320587e-01,-8.536844078258488677e-01,9.092830781100719184e-01,-1.343660244612243648e-01,-5.000014999985000293e-07
97,5.089711989869392106e+00,6.188221911744185218e-07,8.598870973455978170e-07,-9.372323682487378913e-07,9.713557775037529578e-08,-6.188221911744187231e-01,-8.598870973455988720e-01,9.372323682487379015e-01,-9.713557775037548470e-02,-5.000014999985001352e-07
