# REBOUND parity — Pythagorean three-body (Burrau 1913) — apsis IAS15 side
# protocol: paper/notebooks/2026-04-30-rebound-parity-pythagorean.md
# integrator: IAS15 (apsis)
# units: canonical (G = 1)
# masses=(3,4,5), horizon=7.000000000000000000e1
# samples_per_t_unit=30, dt0=1.000000000000000021e-3
sample,t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,e_total
876,2.921560105502595661e1,5.602261713770507745e-1,1.356868934116443270e0,5.170437987258642565e-1,1.726368845431060839e0,-1.307782086156724866e0,-5.138773693889376881e-1,8.125260748170733960e-1,-3.897272566241003489e-1,7.100899660991415452e-1,-4.030194649587054423e-1,-9.602471390891773595e-1,-7.240395019593555137e-1,-1.281666666407702593e1
877,2.923837353565206953e1,5.719286646747495650e-1,1.395671616809074811e0,5.106360852092024505e-1,1.681835073289232430e0,-1.288879823043129758e0,-5.226564980149539519e-1,8.477263932623954057e-1,-3.813129121408069255e-1,6.879466596296461844e-1,-4.192777716734711890e-1,-9.845627657354379947e-1,-7.040507142608931623e-1,-1.281666666407702593e1
878,2.928690165125244960e1,5.963463723148747508e-1,1.475107955221485190e0,4.953843652014398580e-1,1.593366040242240489e0,-1.245857152119676847e0,-5.407296458372915504e-1,9.262461477362705642e-1,-3.635839397968761433e-1,6.388778983068087447e-1,-4.524810564630473153e-1,-1.038227537309880599e0,-6.651524723078426904e-1,-1.281666666407702593e1
879,2.931134022428435415e1,6.083522194981901832e-1,1.513535356525102182e0,4.870924730955299431e-1,1.551753826806284930e0,-1.222714628184563335e0,-5.495070767783849508e-1,9.679589765887798292e-1,-3.547523045589255353e-1,6.131603708487286530e-1,-4.685155524923428350e-1,-1.066622665128341918e0,-6.472504524366297085e-1,-1.281666666407702593e1
880,2.933457335117403630e1,6.195745732585965504e-1,1.549143835320762497e0,4.789325891936750956e-1,1.513818499351993419e0,-1.199749765135902813e0,-5.576520927442142339e-1,1.009228263180557805e0,-3.464118545319917475e-1,5.880550681535564594e-1,-4.833646269970754972e-1,-1.094742164060651390e0,-6.311616159856019426e-1,-1.281666666407702415e1
881,2.937714378158914386e1,6.396356902401396649e-1,1.612170865608575143e0,4.634632020957881737e-1,1.448010814517654010e0,-1.155097772270627265e0,-5.720759250154541231e-1,1.089706108052428846e0,-3.312614441270255727e-1,5.402968036724101752e-1,-5.096417793527712181e-1,-1.149842807699416269e0,-6.037973334089711264e-1,-1.281666666407702238e1
882,2.941530358396676448e1,6.570502425213485820e-1,1.666360155205631299e0,4.492065724478696009e-1,1.392646879921431768e0,-1.112035321223155071e0,-5.844599116034683295e-1,1.168415973458475365e0,-3.178194990396751018e-1,4.953981114657071139e-1,-5.322481638405935911e-1,-1.204256722235502286e0,-5.813325287211181802e-1,-1.281666666407702593e1
883,2.944974958298535483e1,6.722990333728101620e-1,1.713508624723745877e0,4.361443131726395195e-1,1.345270144575813731e0,-1.070468580599593267e0,-5.952001905184002295e-1,1.246228970279523063e0,-3.058003105955020007e-1,4.529954444559805560e-1,-5.519450224195167065e-1,-1.258669764127202439e0,-5.625218382690859720e-1,-1.281666666407702415e1
884,2.948092765378346769e1,6.857116231284557939e-1,1.754808344286798993e0,4.242321271369168256e-1,1.304297040337647484e0,-1.030426408140473482e0,-6.045662183096965903e-1,1.323615470937130612e0,-2.950266070612445057e-1,4.129141526352974600e-1,-5.692320319243114879e-1,-1.313431653031854607e0,-5.465569385535922198e-1,-1.281666666407702415e1
885,2.950921583653148517e1,6.975590768198471903e-1,1.791195864344052202e0,4.133909110724999780e-1,1.268549886325539333e0,-9.919074161027312542e-1,-6.127749633084238479e-1,1.400978232535315060e0,-2.853583597895159585e-1,3.749904867902686956e-1,-5.844975479596816736e-1,-1.368817132671752201e0,-5.328432439637100781e-1,-1.281666666407702593e1
886,2.953493243322849793e1,7.080633025812492765e-1,1.823412610717143112e0,4.035321611092139160e-1,1.237137376030755576e0,-9.548969141686382001e-1,-6.200016189297553604e-1,1.478659080449828522e0,-2.766860478431139581e-1,3.390795497861531227e-1,-5.980462712864709207e-1,-1.425046561025391290e0,-5.209335873439614462e-1,-1.281666666407702415e1
887,2.956919772961792603e1,7.216657147818624773e-1,1.865107082322978949e0,3.904221541068019774e-1,1.196759476993654037e0,-9.022689221689970118e-1,-6.292877210280919398e-1,1.596157797749773843e0,-2.653848713985376695e-1,2.888157088660722183e-1,-6.156340725713030926e-1,-1.511179530663900428e0,-5.057477890773615092e-1,-1.281666666407702948e1
888,2.960798471761978590e1,7.365223407856986704e-1,1.910669348669702394e0,3.756567449099692535e-1,1.152911948122693486e0,-8.373732257848132132e-1,-6.393418645787666277e-1,1.755717926785103744e0,-2.531823265646659937e-1,2.279851761564234691e-1,-6.349281175387972986e-1,-1.629968388374064769e0,-4.892013076218826306e-1,-1.281666666407702593e1
889,2.964017102775518708e1,7.484173334776093034e-1,1.947210545914378033e0,3.634922412984828433e-1,1.117889103871734680e0,-7.783193438782777251e-1,-6.473392750114643768e-1,1.919687238449242050e0,-2.439502479183227601e-1,1.736050750160486600e-1,-6.504549075394446822e-1,-1.753845135538483646e0,-4.755732639883819002e-1,-1.281666666407702948e1
890,2.966693811183651874e1,7.580124243038066645e-1,1.976753245639625067e0,3.534524929026320872e-1,1.089626707256322602e0,-7.247481784866151022e-1,-6.537790376263480363e-1,2.089293966891740961e0,-2.374678079394012542e-1,1.249910882070001394e-1,-6.630287172826858644e-1,-1.883506669254972010e0,-4.638017780022718473e-1,-1.281666666407702593e1
891,2.970343379755717095e1,7.706640521274622513e-1,2.015834060085207380e0,3.398968263749448382e-1,1.052256308520073347e0,-6.431573657288717216e-1,-6.623348257930363747e-1,2.402388622361788961e0,-2.324627712460338447e-1,5.212746130661211758e-2,-6.796325754166846478e-1,-2.125848993714398283e0,-4.453835681152162329e-1,-1.281666666407703303e1
892,2.973610033655845442e1,7.815711799264032367e-1,2.049675870116971943e0,3.279149701863135480e-1,1.019857592798050439e0,-5.581123971539067030e-1,-6.699757074973365922e-1,2.841957508777739783e0,-2.380473159996311927e-1,-2.245279023272450658e-2,-6.938249560723031006e-1,-2.470314989133980177e0,-4.214767028791245873e-1,-1.281666666407703303e1
893,2.976810136099644666e1,7.918791294698940275e-1,2.081816444533918453e0,3.163405814685813500e-1,9.890043743025169753e-1,-4.555246574354741007e-1,-6.780938957665592071e-1,3.691601670782140410e0,-2.823565514780794761e-1,-1.107077517335650907e-1,-7.066147501070927373e-1,-3.143085685506861182e0,-3.675173833990458272e-1,-1.281666666407700461e1
894,2.980004013765902826e1,8.018007389811058205e-1,2.112923137691502529e0,3.049864208244738029e-1,9.590208170110838815e-1,-2.884210514681667670e-1,-6.945769796565610665e-1,1.117827775015144454e1,-2.237895939511211019e0,-2.503436022141380390e-1,-7.120922988896417616e-1,-9.125614052615841132e0,1.214904261402319552e0,-1.281666666407721777e1
895,2.983409175826448845e1,8.119848171706393058e-1,2.145047010481068828e0,2.932542354857123890e-1,9.278963601541778683e-1,-4.532855070416228482e-1,-7.636567141593316732e-1,-3.879539803549061805e0,-9.381461588802133544e-1,-1.245624846690933235e-1,-6.761028349611651889e-1,2.927679301547820412e0,1.937791110116645066e-1,-1.281666666406825783e1
896,2.986718196094127009e1,8.215070131681581067e-1,2.175261954753411775e0,2.823591778969929966e-1,8.984480487579072916e-1,-5.652089781323917927e-1,-7.904382292306317837e-1,-3.014053997705133270e0,-7.181904126118534570e-1,-4.073702539498943315e-2,-6.728065894675305803e-1,2.241827691425909208e0,3.548350083473889027e-2,-1.281666666406826494e1
897,2.990086700559976762e1,8.308386446637151534e-1,2.205032073619190847e0,2.717765282845714947e-1,8.692336172625476642e-1,-6.587235847467241001e-1,-8.127647124035657367e-1,-2.576289794971799108e0,-6.171233156697040201e-1,2.847568099914205356e-2,-6.728074742486509496e-1,1.897965919006694868e0,-2.784151782176491619e-2,-1.281666666406826494e1
898,2.993440318147472468e1,8.397831636996417881e-1,2.233705280557013673e0,2.617272539191628500e-1,8.408694091227615353e-1,-7.401262051059021019e-1,-8.323474833435007270e-1,-2.295229966085108764e0,-5.547374346994897731e-1,8.823106586492837633e-2,-6.743451816593968307e-1,1.679147620516587835e0,-6.073169771406457945e-2,-1.281666666406825783e1
899,2.997213875496625235e1,8.494547846213146292e-1,2.264846427471232992e0,2.509656056303093408e-1,8.097616473592634811e-1,-8.222414512169063938e-1,-8.522977130978872662e-1,-2.068441645424225594e0,-5.052274996482188918e-1,1.481202902007280886e-1,-6.770696860044189691e-1,1.504173952961193050e0,-8.167498869698242014e-2,-1.281666666406825783e1
900,3.000316534750094632e1,8.571095027012501921e-1,2.289581780514797771e0,2.425227356348273466e-1,7.847876813408003471e-1,-8.840936019595196926e-1,-8.674679323445011470e-1,-1.923452347104399607e0,-4.737133595641579986e-1,1.930091799468573455e-1,-6.797747224332668647e-1,1.393248236302621734e0,-9.190192115315329313e-2,-1.281666666406825605e1
901,3.003990865863771020e1,8.658435846431794536e-1,2.317884143373204253e0,2.329649489920539718e-1,7.558733737683923648e-1,-9.520986660483855557e-1,-8.842927710122610030e-1,-1.782821989439175026e0,-4.430787071834227375e-1,2.421727820527924679e-1,-6.832962692141026917e-1,1.286478622156105978e0,-9.906105851429670983e-2,-1.281666666406825783e1
902,3.007188460405949471e1,8.731648126002105048e-1,2.341659079091195306e0,2.250102807329066867e-1,7.312605987439327881e-1,-1.007418235752392643e0,-8.980911992224213103e-1,-1.679773081780769228e0,-4.204991956840908318e-1,2.820357010417794963e-1,-6.865224880767690774e-1,1.208812296984869805e0,-1.023570026990864995e-1,-1.281666666406826138e1
903,3.010824488431144985e1,8.811875520273109164e-1,2.367747899092676356e0,2.163464356316775195e-1,7.038575742546772096e-1,-1.066609740221641234e0,-9.129648558228233846e-1,-1.578507012217889471e0,-3.981334650855984369e-1,3.245752609609179884e-1,-6.902768547973360258e-1,1.132997748395303539e0,-1.038077724843270433e-1,-1.281666666406826138e1
904,3.013521675754377682e1,8.869390050894659927e-1,2.386462539320414411e0,2.101650387975679268e-1,6.839100690236844526e-1,-1.108272071718658047e0,-9.235001559574373964e-1,-1.511870779814148635e0,-3.832906979763912592e-1,3.544542543212383379e-1,-6.930773988262877161e-1,1.083397600572776565e0,-1.037134830330971452e-1,-1.281666666406825961e1
905,3.018028886524659526e1,8.961865846667302904e-1,2.416548776082655614e0,2.002681340037114899e-1,6.512540720017235829e-1,-1.174134801879142875e0,-9.402637927690009612e-1,-1.413008313760567569e0,-3.610433410574431234e-1,4.015958907032675107e-1,-6.977182314343814973e-1,1.010245770606225557e0,-1.019177703550791098e-1,-1.281666666406825783e1
906,3.021375598682837804e1,9.027707211638542617e-1,2.437946073227597044e0,1.932451310404972866e-1,6.275221520906874018e-1,-1.220314124277656287e0,-9.520945688655688688e-1,-1.347686255967562641e0,-3.461711852634075659e-1,4.345888667238038683e-1,-7.010919888440920733e-1,9.622019261497500864e-1,-9.957634304368589984e-2,-1.281666666406825605e1
907,3.025027731914694584e1,9.096927904022362732e-1,2.460398230508665574e0,1.858739342247339721e-1,6.020936089826117721e-1,-1.268328435369745710e0,-9.644604822678407574e-1,-1.282692255829120498e0,-3.312190258074231286e-1,4.688470740544461446e-1,-7.046705524909157026e-1,9.146294441284544829e-1,-9.628094474362804134e-2,-1.281666666406826138e1
908,3.026976370543089701e1,9.132774990777243751e-1,2.472000309832498299e0,1.820585739590897811e-1,5.887160412439713664e-1,-1.293005507484313421e0,-9.708410527796788037e-1,-1.250302811031684280e0,-3.237053460025146601e-1,4.864379065408073743e-1,-7.065273436757449899e-1,8.910071044498918402e-1,-9.426534794437060882e-2,-1.281666666406825783e1
909,3.031139535382879657e1,9.206913868604581497e-1,2.495921387047839612e0,1.741641545747118769e-1,5.605543468127179851e-1,-1.343691714520070413e0,-9.839983855209778474e-1,-1.185649096000353619e0,-3.085739479785887807e-1,5.225385394997726918e-1,-7.103541238119104317e-1,8.440207840554541097e-1,-8.947344970475926140e-2,-1.281666666406826138e1
