# REBOUND parity — Figure-8 choreography — REBOUND IAS15 side
# protocol: paper/notebooks/2026-04-26-rebound-parity-figure8.md
# integrator: IAS15 (REBOUND)
# rebound_version: 4.6.0
# units: canonical (G = 1)
# mass=1.0, period=6.325913986999999850e+00
# n_periods=10, samples_per_period=200, dt0=6.424945463533106478e-04
sample,t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,e_total
1556,4.922486053731578437e+01,-7.442937433511099821e-01,-3.509908327049466314e-01,-9.181625995295087383e-01,1.551289122851307878e-01,-3.223795527043596953e-01,2.579946274415133023e-01,1.064794379808345015e+00,-6.222045715034734137e-01,1.066673296055463238e+00,9.299620526342855520e-02,-1.466317802788364433e-01,4.670756592183424316e-01,-1.287141991766325821e+00
1557,4.926709629398049373e+01,-7.818696970582708072e-01,-3.431043838738339624e-01,-8.605809814026552651e-01,2.168358219176002577e-01,-2.778986910439968372e-01,2.303908201329299132e-01,1.041167258901903647e+00,-6.833711356834620831e-01,1.059768388102261261e+00,1.127135637408992752e-01,-1.805862774992484376e-01,4.665353137658615479e-01,-1.287141991766325599e+00
1558,4.928861325678453653e+01,-8.000599380231627755e-01,-3.381332302724854855e-01,-8.301052095799111852e-01,2.448494074926537978e-01,-2.556309174772932180e-01,2.153859573305257347e-01,1.028598915516842682e+00,-7.109214980396811878e-01,1.055690855500449610e+00,1.227472729419549907e-01,-1.984937059369318302e-01,4.660720905470271958e-01,-1.287141991766325821e+00
1559,4.933252664485414130e+01,-8.351244465291103314e-01,-3.262456774322555209e-01,-7.667102749386027760e-01,2.950223180459224381e-01,-2.110227900956878899e-01,1.830614501700509045e-01,1.003218401296706475e+00,-7.595944921116029036e-01,1.046147236624791921e+00,1.431842272621998702e-01,-2.365081263581040039e-01,4.645721740656802989e-01,-1.287141991766325599e+00
1560,4.935496190972580877e+01,-8.519603454637763029e-01,-3.193739190182854348e-01,-7.341395702019883895e-01,3.171858459682456166e-01,-1.886546131529739934e-01,1.657790827230945230e-01,9.909084884460021003e-01,-7.806234473512917438e-01,1.040614958616743913e+00,1.535948362951861379e-01,-2.567689182440139328e-01,4.634376013830459051e-01,-1.287141991766325821e+00
1561,4.937772485885976437e+01,-8.682965443670860317e-01,-3.119193486912276159e-01,-7.012306734746399650e-01,3.374205565241473193e-01,-1.662336669603966255e-01,1.477913847913889800e-01,9.791899789704736623e-01,-7.993871595342494363e-01,1.034530211327476357e+00,1.641279638998338619e-01,-2.779593054958339748e-01,4.619666030101018950e-01,-1.287141991766326043e+00
1562,4.942429683856579459e+01,-8.994049008719464666e-01,-2.953601440203748596e-01,-6.350097689898539510e-01,3.723118049190309309e-01,-1.211321680074130963e-01,1.098094922192607431e-01,9.584749641924203978e-01,-8.300163283922439295e-01,1.020537068879353138e+00,1.855506518011093564e-01,-3.234651952025666688e-01,4.577045234732127765e-01,-1.287141991766325599e+00
1563,4.944799334713076888e+01,-9.140619711227723210e-01,-2.863595667139012813e-01,-6.021682382201841710e-01,3.870232538393198474e-01,-9.852333937771792782e-02,8.999682612595205633e-02,9.499749388246645498e-01,-8.417650139709673685e-01,1.012585310500483837e+00,1.963627405879444510e-01,-3.478067006044806009e-01,4.547417601316472990e-01,-1.287141991766326043e+00
1564,4.947183142796057354e+01,-9.280298520190908285e-01,-2.769757990412229920e-01,-5.698569350858649907e-01,3.999738627426858151e-01,-7.596409397534453767e-02,6.981483130596108366e-02,9.430059397636630925e-01,-8.510788928884643889e-01,1.003993945994428927e+00,2.071609677352571066e-01,-3.731490046777982683e-01,4.511050301457783518e-01,-1.287141991766326043e+00
1565,4.951876184083258181e+01,-9.533243693632804661e-01,-2.576955822725780498e-01,-5.086593379565602646e-01,4.206897251785827740e-01,-3.193925516932254183e-02,2.957332390447169404e-02,9.343146779760450604e-01,-8.623182900008088403e-01,9.852636245325966380e-01,2.281222583681015437e-01,-4.256553400194849623e-01,4.416285648222257887e-01,-1.287141991766325377e+00
1566,4.954105964257083627e+01,-9.643541462724032343e-01,-2.482249192565116336e-01,-4.807890579007569887e-01,4.285903021634718812e-01,-1.112775996116386300e-02,1.031806797019060688e-02,9.326396678661621475e-01,-8.644385493134810750e-01,9.754819062335606805e-01,2.379068512863162232e-01,-4.518506099654054364e-01,4.358482471500089717e-01,-1.287141991766325599e+00
1567,4.956962414204458867e+01,-9.775913851888925477e-01,-2.358563577142083756e-01,-4.462643743928160212e-01,4.371425194679445791e-01,1.550941507005272439e-02,-1.437823439296339462e-02,9.328584285873252613e-01,-8.641624577304486410e-01,9.620819701188333406e-01,2.502345921071669754e-01,-4.865940541945094622e-01,4.270199382625038398e-01,-1.287141991766326043e+00
1568,4.960349755463694521e+01,-9.920384259911835256e-01,-2.209050866667628676e-01,-4.070485219018727951e-01,4.452992664715070825e-01,4.716057498726077685e-02,-4.358432390522885835e-02,9.365470380875672296e-01,-8.594698877683726312e-01,9.448778510039163026e-01,2.644894105719869382e-01,-5.294985161856947675e-01,4.141706212968653267e-01,-1.287141991766325599e+00
1569,4.964589039383463387e+01,-1.008299030135911156e+00,-2.018557698660613520e-01,-3.605636226988122583e-01,4.529836774748323136e-01,8.704939863207761253e-02,-7.977827064499393162e-02,9.462310468210782810e-01,-8.468030921457877502e-01,9.212496315038272154e-01,2.816340405110504541e-01,-5.856674241222662447e-01,3.938194146709552146e-01,-1.287141991766326043e+00
1570,4.966859533236254975e+01,-1.016214499307448005e+00,-1.915338118869027162e-01,-3.368127625971548689e-01,4.561422637351867371e-01,1.086143463375399132e-01,-9.889585343388836158e-02,9.535917904701156633e-01,-8.368196239168416151e-01,9.076001529699017079e-01,2.904296653207862344e-01,-6.167790278729610165e-01,3.806773601816546559e-01,-1.287141991766325599e+00
1571,4.969175291012141571e+01,-1.023741392932148830e+00,-1.809389829702812147e-01,-3.133759075906246139e-01,4.587880626143799878e-01,1.307980187603453581e-01,-1.181338185406781843e-01,9.625265569842295088e-01,-8.242571624275639719e-01,8.929433741717971440e-01,2.990728015109545557e-01,-6.491506493936051170e-01,3.654690998131837620e-01,-1.287141991766325821e+00
1572,4.973827706533813853e+01,-1.037266972462630221e+00,-1.594975143358601799e-01,-2.685543158365063521e-01,4.626570526953441287e-01,1.760661006439950271e-01,-1.557584713411218069e-01,9.842365481884187695e-01,-7.914457393645198957e-01,8.612008718186288103e-01,3.152559856769771018e-01,-7.156822323519126394e-01,3.287886866691755450e-01,-1.287141991766325599e+00
1573,4.976125227437063359e+01,-1.043193465281287313e+00,-1.488519204400556850e-01,-2.474576938662729764e-01,4.639905138662653306e-01,1.988177897404088401e-01,-1.737163307045362093e-01,9.964400494926630714e-01,-7.713528124483083337e-01,8.443756755408720061e-01,3.225682511445870371e-01,-7.489823556263902615e-01,3.073622985820427811e-01,-1.287141991766325599e+00
1574,4.980636649598515220e+01,-1.053454884402012848e+00,-1.278754633804944640e-01,-2.078294168794626029e-01,4.657728221072625074e-01,2.443451989607785535e-01,-2.074883048561815269e-01,1.022154163160201579e+00,-7.240685254343133259e-01,8.091096854412278550e-01,3.353637682366711337e-01,-8.143247462807392534e-01,2.582957033270505964e-01,-1.287141991766325377e+00
1575,4.982846334064169014e+01,-1.057840634027199744e+00,-1.175768790082818704e-01,-1.892085803168268854e-01,4.663296125317775709e-01,2.670745351973750625e-01,-2.231939175323488789e-01,1.035093348035325933e+00,-6.970271734825793652e-01,7.907660988298181870e-01,3.407707965406258643e-01,-8.458847677184991865e-01,2.306975609508016001e-01,-1.287141991766325821e+00
