# Pair separation r(t) for the truncated-kernel run (downsampled, stride 30)
t,r
1.806100e1,1.894396e0
1.809100e1,1.888691e0
1.812100e1,1.882885e0
1.815100e1,1.876977e0
1.818100e1,1.870967e0
1.821100e1,1.864854e0
1.824100e1,1.858639e0
1.827100e1,1.852320e0
1.830100e1,1.845897e0
1.833100e1,1.839370e0
1.836100e1,1.832739e0
1.839100e1,1.826003e0
1.842100e1,1.819163e0
1.845100e1,1.812216e0
1.848100e1,1.805164e0
1.851100e1,1.798006e0
1.854100e1,1.790741e0
1.857100e1,1.783369e0
1.860100e1,1.775890e0
1.863100e1,1.768303e0
1.866100e1,1.760608e0
1.869100e1,1.752804e0
1.872100e1,1.744891e0
1.875100e1,1.736869e0
1.878100e1,1.728737e0
1.881100e1,1.720495e0
1.884100e1,1.712142e0
1.887100e1,1.703677e0
1.890100e1,1.695102e0
1.893100e1,1.686414e0
1.896100e1,1.677614e0
1.899100e1,1.668701e0
1.902100e1,1.659675e0
1.905100e1,1.650535e0
1.908100e1,1.641280e0
1.911100e1,1.631912e0
1.914100e1,1.622428e0
1.917100e1,1.612828e0
1.920100e1,1.603113e0
1.923100e1,1.593282e0
1.926100e1,1.583333e0
1.929100e1,1.573268e0
1.932100e1,1.563085e0
1.935100e1,1.552784e0
1.938100e1,1.542365e0
1.941100e1,1.531827e0
1.944100e1,1.521170e0
1.947100e1,1.510393e0
1.950100e1,1.499497e0
1.953100e1,1.488481e0
1.956100e1,1.477345e0
1.959100e1,1.466088e0
1.962100e1,1.454710e0
1.965100e1,1.443212e0
1.968100e1,1.431592e0
1.971100e1,1.419851e0
1.974100e1,1.407988e0
1.977100e1,1.396005e0
1.980100e1,1.383900e0
1.983100e1,1.371673e0
1.986100e1,1.359326e0
1.989100e1,1.346857e0
1.992100e1,1.334268e0
1.995100e1,1.321559e0
1.998100e1,1.308730e0
2.001100e1,1.295782e0
2.004100e1,1.282715e0
2.007100e1,1.269530e0
2.010100e1,1.256229e0
2.013100e1,1.242812e0
2.016100e1,1.229280e0
2.019100e1,1.215635e0
2.022100e1,1.201879e0
2.025100e1,1.188013e0
2.028100e1,1.174040e0
2.031100e1,1.159962e0
2.034100e1,1.145780e0
2.037100e1,1.131499e0
2.040100e1,1.117122e0
2.043100e1,1.102652e0
2.046100e1,1.088094e0
2.049100e1,1.073451e0
2.052100e1,1.058729e0
2.055100e1,1.043934e0
2.058100e1,1.029071e0
2.061100e1,1.014148e0
2.064100e1,9.991721e-1
2.067100e1,9.840568e-1
2.070100e1,9.687205e-1
2.073100e1,9.531677e-1
2.076100e1,9.374039e-1
2.079100e1,9.214354e-1
2.082100e1,9.052697e-1
2.085100e1,8.889159e-1
2.088100e1,8.723842e-1
2.091100e1,8.556867e-1
2.094100e1,8.388376e-1
2.097100e1,8.218533e-1
2.100100e1,8.047528e-1
2.103100e1,7.875579e-1
2.106100e1,7.702942e-1
2.109100e1,7.529909e-1
2.112100e1,7.356818e-1
2.115100e1,7.184054e-1
2.118100e1,7.012063e-1
2.121100e1,6.841351e-1
2.124100e1,6.672497e-1
2.127100e1,6.506158e-1
2.130100e1,6.343073e-1
2.133100e1,6.184077e-1
2.136100e1,6.030096e-1
2.139100e1,5.882157e-1
2.142100e1,5.741379e-1
2.145100e1,5.608971e-1
2.148100e1,5.486211e-1
2.151100e1,5.374429e-1
2.154100e1,5.274968e-1
2.157100e1,5.189143e-1
2.160100e1,5.118192e-1
2.163100e1,5.063212e-1
2.166100e1,5.025107e-1
2.169100e1,5.004531e-1
2.172100e1,5.001848e-1
2.175100e1,5.017104e-1
2.178100e1,5.050030e-1
2.181100e1,5.100054e-1
2.184100e1,5.166343e-1
2.187100e1,5.247850e-1
2.190100e1,5.343374e-1
2.193100e1,5.451617e-1
2.196100e1,5.571239e-1
2.199100e1,5.700902e-1
2.202100e1,5.839310e-1
2.205100e1,5.985232e-1
2.208100e1,6.137520e-1
2.211100e1,6.295120e-1
2.214100e1,6.457075e-1
2.217100e1,6.622525e-1
2.220100e1,6.790700e-1
2.223100e1,6.960921e-1
2.226100e1,7.132586e-1
2.229100e1,7.305168e-1
2.232100e1,7.478205e-1
2.235100e1,7.651293e-1
2.238100e1,7.824081e-1
2.241100e1,7.996263e-1
2.244100e1,8.167575e-1
2.247100e1,8.337786e-1
2.250100e1,8.506699e-1
2.253100e1,8.674142e-1
2.256100e1,8.839968e-1
2.259100e1,9.004049e-1
2.262100e1,9.166278e-1
2.265100e1,9.326560e-1
2.268100e1,9.484817e-1
2.271100e1,9.640981e-1
2.274100e1,9.794996e-1
2.277100e1,9.946813e-1
2.280100e1,1.009680e0
2.283100e1,1.024620e0
2.286100e1,1.039501e0
2.289100e1,1.054317e0
2.292100e1,1.069061e0
2.295100e1,1.083728e0
2.298100e1,1.098312e0
2.301100e1,1.112808e0
2.304100e1,1.127214e0
2.307100e1,1.141523e0
2.310100e1,1.155734e0
2.313100e1,1.169844e0
2.316100e1,1.183848e0
2.319100e1,1.197746e0
2.322100e1,1.211535e0
2.325100e1,1.225213e0
2.328100e1,1.238779e0
2.331100e1,1.252230e0
2.334100e1,1.265566e0
2.337100e1,1.278785e0
2.340100e1,1.291887e0
2.343100e1,1.304870e0
2.346100e1,1.317735e0
2.349100e1,1.330480e0
2.352100e1,1.343104e0
2.355100e1,1.355609e0
2.358100e1,1.367992e0
2.361100e1,1.380254e0
2.364100e1,1.392395e0
2.367100e1,1.404415e0
2.370100e1,1.416313e0
2.373100e1,1.428090e0
2.376100e1,1.439746e0
2.379100e1,1.451281e0
2.382100e1,1.462694e0
2.385100e1,1.473987e0
2.388100e1,1.485159e0
2.391100e1,1.496211e0
2.394100e1,1.507143e0
2.397100e1,1.517955e0
2.400100e1,1.528647e0
2.403100e1,1.539220e0
2.406100e1,1.549675e0
2.409100e1,1.560011e0
2.412100e1,1.570229e0
2.415100e1,1.580329e0
2.418100e1,1.590312e0
2.421100e1,1.600178e0
2.424100e1,1.609928e0
2.427100e1,1.619561e0
2.430100e1,1.629079e0
2.433100e1,1.638482e0
2.436100e1,1.647770e0
2.439100e1,1.656944e0
2.442100e1,1.666004e0
2.445100e1,1.674951e0
2.448100e1,1.683784e0
2.451100e1,1.692505e0
2.454100e1,1.701114e0
2.457100e1,1.709611e0
2.460100e1,1.717997e0
2.463100e1,1.726272e0
2.466100e1,1.734437e0
2.469100e1,1.742492e0
2.472100e1,1.750437e0
2.475100e1,1.758273e0
2.478100e1,1.766000e0
2.481100e1,1.773619e0
2.484100e1,1.781130e0
2.487100e1,1.788534e0
2.490100e1,1.795831e0
2.493100e1,1.803020e0
2.496100e1,1.810104e0
2.499100e1,1.817081e0
2.502100e1,1.823953e0
2.505100e1,1.830720e0
2.508100e1,1.837382e0
2.511100e1,1.843940e0
2.514100e1,1.850393e0
2.517100e1,1.856743e0
2.520100e1,1.862989e0
2.523100e1,1.869133e0
2.526100e1,1.875173e0
2.529100e1,1.881111e0
2.532100e1,1.886947e0
2.535100e1,1.892682e0
2.538100e1,1.898315e0
2.541100e1,1.903846e0
2.544100e1,1.909277e0
2.547100e1,1.914608e0
2.550100e1,1.919838e0
2.553100e1,1.924968e0
2.556100e1,1.929999e0
2.559100e1,1.934930e0
2.562100e1,1.939762e0
2.565100e1,1.944495e0
2.568100e1,1.949130e0
2.571100e1,1.953666e0
2.574100e1,1.958104e0
2.577100e1,1.962444e0
2.580100e1,1.966686e0
2.583100e1,1.970832e0
2.586100e1,1.974879e0
2.589100e1,1.978830e0
2.592100e1,1.982685e0
2.595100e1,1.986442e0
2.598100e1,1.990103e0
2.601100e1,1.993669e0
2.604100e1,1.997138e0
2.607100e1,2.000511e0
2.610100e1,2.003789e0
2.613100e1,2.006971e0
2.616100e1,2.010058e0
2.619100e1,2.013050e0
2.622100e1,2.015948e0
2.625100e1,2.018750e0
2.628100e1,2.021458e0
2.631100e1,2.024071e0
2.634100e1,2.026590e0
2.637100e1,2.029014e0
2.640100e1,2.031345e0
2.643100e1,2.033581e0
2.646100e1,2.035724e0
2.649100e1,2.037773e0
2.652100e1,2.039729e0
2.655100e1,2.041591e0
2.658100e1,2.043359e0
2.661100e1,2.045034e0
2.664100e1,2.046616e0
2.667100e1,2.048105e0
2.670100e1,2.049501e0
2.673100e1,2.050803e0
2.676100e1,2.052013e0
2.679100e1,2.053130e0
2.682100e1,2.054154e0
2.685100e1,2.055085e0
2.688100e1,2.055924e0
2.691100e1,2.056670e0
2.694100e1,2.057323e0
2.697100e1,2.057884e0
2.700100e1,2.058352e0
2.703100e1,2.058728e0
2.706100e1,2.059011e0
2.709100e1,2.059201e0
2.712100e1,2.059299e0
2.715100e1,2.059305e0
2.718100e1,2.059218e0
2.721100e1,2.059039e0
2.724100e1,2.058767e0
2.727100e1,2.058403e0
2.730100e1,2.057946e0
2.733100e1,2.057396e0
2.736100e1,2.056754e0
2.739100e1,2.056019e0
2.742100e1,2.055192e0
2.745100e1,2.054272e0
2.748100e1,2.053259e0
2.751100e1,2.052153e0
2.754100e1,2.050955e0
2.757100e1,2.049664e0
2.760100e1,2.048279e0
2.763100e1,2.046802e0
2.766100e1,2.045231e0
2.769100e1,2.043567e0
2.772100e1,2.041810e0
2.775100e1,2.039959e0
2.778100e1,2.038015e0
2.781100e1,2.035978e0
2.784100e1,2.033846e0
2.787100e1,2.031621e0
2.790100e1,2.029302e0
2.793100e1,2.026889e0
2.796100e1,2.024381e0
2.799100e1,2.021780e0
2.802100e1,2.019083e0
2.805100e1,2.016292e0
2.808100e1,2.013407e0
2.811100e1,2.010426e0
2.814100e1,2.007351e0
2.817100e1,2.004180e0
2.820100e1,2.000914e0
2.823100e1,1.997552e0
2.826100e1,1.994095e0
2.829100e1,1.990541e0
2.832100e1,1.986891e0
2.835100e1,1.983146e0
2.838100e1,1.979303e0
2.841100e1,1.975364e0
2.844100e1,1.971328e0
2.847100e1,1.967194e0
2.850100e1,1.962964e0
2.853100e1,1.958635e0
2.856100e1,1.954209e0
2.859100e1,1.949685e0
2.862100e1,1.945062e0
2.865100e1,1.940341e0
2.868100e1,1.935521e0
2.871100e1,1.930602e0
2.874100e1,1.925584e0
2.877100e1,1.920466e0
2.880100e1,1.915247e0
2.883100e1,1.909929e0
2.886100e1,1.904511e0
2.889100e1,1.898991e0
2.892100e1,1.893370e0
2.895100e1,1.887648e0
2.898100e1,1.881825e0
2.901100e1,1.875899e0
2.904100e1,1.869871e0
2.907100e1,1.863740e0
2.910100e1,1.857506e0
2.913100e1,1.851169e0
2.916100e1,1.844728e0
2.919100e1,1.838183e0
